region,ANNULÉ,ARRETÉ,EN COURS,NON DEMARRÉ,TERMINÉ,All
ADAMAOUA,0,0,6.0,0,9.0,7.5
CENTRE,0,1,1.0,0,25.0,9.0
EST,0,0,2.0,0,16.0,9.0
EXTRÊME-NORD,1,1,2.0,0,17.0,5.25
LITTORAL,0,0,0.0,1,12.0,6.5
NORD,0,0,1.0,0,3.0,2.0
NORD-OUEST,0,0,0.0,0,1.0,1.0
OUEST,0,1,0.0,0,4.0,2.5
SUD,0,0,1.0,0,11.0,6.0
SUD-OUEST,0,0,0.0,1,17.0,9.0
All,1,1,2.1666666666666665,1,11.5,6.090909090909091
