prestation_id,nombre_classes,nombre_lieux,nombre_apprenants,taille_moyenne_classe,lieux_par_classe,proportion_femmes,region,fenetre,score_performance_pomp,prestataire_groupe,nombre_reponses
11178,1,1,30,30.0,1.0,0.5,SUD-OUEST,3,82.57575757575759,4795BF66FBB8B51E,11
11180,1,1,30,30.0,1.0,0.4,SUD-OUEST,3,71.42857142857143,ED547820721938B6,28
11181,3,1,64,21.333333333333332,0.3333333333333333,0.390625,SUD-OUEST,3,71.5432098765432,ED547820721938B6,45
11182,1,1,60,60.0,1.0,0.5,CENTRE,3,91.66666666666667,6FB537DF36D5A084,15
11183,1,1,30,30.0,1.0,0.0,EST,2,79.76190476190477,FD8ACC87514C6EDB,21
11184,2,1,50,25.0,0.5,0.5,CENTRE,3,72.4867724867725,6FB537DF36D5A084,21
11185,3,1,63,21.0,0.3333333333333333,0.6349206349206349,CENTRE,3,76.24521072796935,6FB537DF36D5A084,29
11187,1,1,30,30.0,1.0,0.0,CENTRE,2,72.22222222222221,70AA1A8297F235A0,22
11189,5,3,155,31.0,0.6,0.4,CENTRE,3,64.14609053497942,78301BA6F64EF052,54
11191,3,1,93,31.0,0.3333333333333333,0.06451612903225806,EXTRÊME-NORD,3,78.01932367149757,A52CF1F79AE2B041,46
11193,1,1,20,20.0,1.0,0.25,EXTRÊME-NORD,3,78.64583333333333,A52CF1F79AE2B041,16
11194,2,1,40,20.0,0.5,0.375,EXTRÊME-NORD,3,67.4074074074074,A52CF1F79AE2B041,15
11195,1,1,30,30.0,1.0,0.5,EXTRÊME-NORD,3,70.72649572649573,A52CF1F79AE2B041,13
11196,4,1,430,107.5,0.25,0.0,LITTORAL,2,79.7222222222222,FA712F73BC78ABE2,20
11197,4,1,140,35.0,0.25,0.0,LITTORAL,2,74.50396825396825,FEAA71212870E89C,56
11198,1,1,0,0.0,1.0,,EXTRÊME-NORD,3,86.52777777777776,E33A6534FFA92396,20
11200,1,1,0,0.0,1.0,,LITTORAL,2,71.89542483660131,2E6D26A62425CBDE,17
11201,1,1,30,30.0,1.0,0.0,LITTORAL,2,74.25925925925925,37904FD717A19AF8,15
11202,2,1,40,20.0,0.5,1.0,CENTRE,3,80.27777777777776,6FB537DF36D5A084,20
11203,1,1,30,30.0,1.0,0.0,LITTORAL,2,74.18300653594771,37904FD717A19AF8,17
11204,1,1,67,67.0,1.0,0.5671641791044776,CENTRE,3,74.44444444444443,31A0999EEABE92B1,10
11205,2,1,236,118.0,0.5,0.5423728813559322,EST,3,70.60931899641577,A97592DD45C4D961,31
11212,1,1,30,30.0,1.0,0.6,EST,3,77.08333333333333,A97592DD45C4D961,28
11219,2,1,45,22.5,0.5,0.0,LITTORAL,2,77.77777777777777,D640806331864028,38
